folder,file_name,repetition,path,direction,walking,forward,reverse,sd_su,sd,su,handwave
03.03.2018\One robot standing still,0303-A2F-SU2-7,7,A2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A2F-SU2-8,8,A2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A2F-SU2-9,9,A2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A2F-SU2-10,10,A2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-A2R-SU2-1,1,A2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A2R-SU2-2,2,A2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A2R-SU2-3,3,A2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A2R-SU2-4,4,A2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A2R-SU2-5,5,A2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A2R-SU2-6,6,A2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A2R-SU2-7,7,A2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A2R-SU2-8,8,A2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A2R-SU2-9,9,A2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-A2R-SU2-10,10,A2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-BF-SU1-1,1,B1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-BF-SU1-2,2,B1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-BF-SU1-3,3,B1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-BF-SU1-4,4,B1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-BF-SU1-5,5,B1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-BF-SU1-6,6,B1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-BF-SU1-7,7,B1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-BF-SU1-8,8,B1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-BF-SU1-9,9,B1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-BF-SU1-10,10,B1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-BR-SU1-1,1,B1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-BR-SU1-2,2,B1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-BR-SU1-3,3,B1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-BR-SU1-4,4,B1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-BR-SU1-5,5,B1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-BR-SU1-6,6,B1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-BR-SU1-7,7,B1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-BR-SU1-8,8,B1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-BR-SU1-9,9,B1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-BR-SU1-10,10,B1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C1F-SU1-1,1,C1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C1F-SU1-2,2,C1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C1F-SU1-3,3,C1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C1F-SU1-4,4,C1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C1F-SU1-5,5,C1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C1F-SU1-6,6,C1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C1F-SU1-7,7,C1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C1F-SU1-8,8,C1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C1F-SU1-9,9,C1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C1F-SU1-10,10,C1,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C1R-SU1-1,1,C1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C1R-SU1-2,2,C1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C1R-SU1-3,3,C1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C1R-SU1-4,4,C1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C1R-SU1-5,5,C1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C1R-SU1-6,6,C1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C1R-SU1-7,7,C1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C1R-SU1-8,8,C1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C1R-SU1-9,9,C1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C1R-SU1-10,10,C1,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C2F-SU1-1,1,C2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C2F-SU1-2,2,C2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C2F-SU1-3,3,C2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C2F-SU1-4,4,C2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C2F-SU1-5,5,C2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C2F-SU1-6,6,C2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C2F-SU1-7,7,C2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C2F-SU1-8,8,C2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C2F-SU1-9,9,C2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C2F-SU1-10,10,C2,F,1,1,0,su,0,1,0
03.03.2018\One robot standing still,0303-C2R-SU1-1,1,C2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C2R-SU1-2,2,C2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C2R-SU1-3,3,C2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C2R-SU1-4,4,C2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C2R-SU1-5,5,C2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C2R-SU1-6,6,C2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C2R-SU1-7,7,C2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C2R-SU1-8,8,C2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C2R-SU1-9,9,C2,R,1,0,1,su,0,1,0
03.03.2018\One robot standing still,0303-C2R-SU1-10,10,C2,R,1,0,1,su,0,1,0
